위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
몰트락 26년(Special Releas) 700ml,몰트락,1228.5,1863945,700,266278,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5704239
라가불린 10년 700ml,라가불린,86.45,131167,700,18738,115000,700,16429,달다보리,라가불린 10년,,115000,데일리샷,N,-16167,N,-14.1,N,https://www.shilladfs.com/estore/kr/ko/p/5704238
아드모어 트리플 우드 1000ml,아드모어,58.8,89214,1000,8921,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5642385
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,216.0,327727,700,46818,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677236
고든앤맥패일 코노세어초이스 탐나불린 2007 14년 700ml,고든 앤 맥패일,196.65,298368,700,42624,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677234
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,194.75,295485,700,42212,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677233
고든앤맥패일 코노세어초이스 글렌토커스 2007 15년 700ml,고든 앤 맥패일,196.65,298368,700,42624,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677232
고든앤맥패일 디스틸러리 몰트락 15년 700ml,고든 앤 맥패일,141.55,214767,700,30681,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677231
고든앤맥패일 디스커버리 오크로이스크 10년 700ml,고든 앤 맥패일,78.85,119635,700,17091,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5677221
고든앤맥패일 디스커버리 토마틴 2011 12년 700ml,고든 앤 맥패일,78.85,119635,700,17091,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677226
메이커스 마크 46 1000ml,메이커스마크,63.65,96573,1000,9657,34800,700,4971,바틀리어,메이커스 마크 700ml,49980,34800,데일리샷,N,-61773,N,-94.3,N,https://www.shilladfs.com/estore/kr/ko/p/5592649
달모어 컨스텔레이션 1976년 700ml,달모어,20995.0,31854727,700,4550675,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5653826
달모어 캐스크 큐레이션 시리즈 – 포트 에디션 700ml * 3,달모어,42227.5,64069802,700,9152829,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5652877
PAUL JOHN UNPEATED 올로로소 700ml,폴 존,103.5,157036,700,22434,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5461899
더 글렌리벳 Grounbreaker Collection 700ml,글렌리벳,95.0,144139,700,20591,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5615677
더 글렌리벳 Caskmakers 700ml,글렌리벳,94.05,142698,700,20385,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5615676
브렌 10YO 700ml,와인나라,112.5,170691,700,24384,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5591605
와일드터키 마스터스 킵 언포가튼 750ml,와일드터키,126.0,191174,750,25490,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5605263
보모어 22년 700ml,보모어,199.5,302692,700,43242,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5524534
와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,154032,700,22005,278000,700,39714,로랜드 주류상회,와일드무어 23년,,278000,데일리샷,Y,123968,Y,44.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5399821
와일드무어 40년 블랙 마운틴 700ml,와일드무어,648.0,983180,700,140454,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5582447
더 글렌그란트 익스플로레이션 700ml,더 글렌그란트,54.0,81932,700,11705,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5569745
듀어스 25년 750ml,듀어스,303.45,460410,750,61388,439000,700,62714,고래맥주창고 방이점,듀어스 25년 더 시그니처,,439000,데일리샷,N,-21410,Y,2.1,N,https://www.shilladfs.com/estore/kr/ko/p/5268253
NEW 올트모어 21년 (깔바도스) 500ml,올트모어,189.05,286837,500,57367,242000,700,34571,블루하우스,올트모어 21년,,242000,데일리샷,N,-44837,N,-65.9,N,https://www.shilladfs.com/estore/kr/ko/p/5560834
크라이겔라키 33년 700ml,듀어스,1262.4,1915380,700,273626,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5560827
크라이겔라키 13년 1000ml,크라이겔라키,79.8,121077,1000,12108,105000,700,15000,블루하우스,크라이겔라키 13년,,105000,데일리샷,N,-16077,Y,19.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5560825
더 패밀리 캐스크스 2000_S24 700ml,글렌파클라스,678.3,1029153,700,147022,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5548857
글렌피딕 XX 700ml ,글렌피딕,49.68,75377,700,10768,99000,700,14143,블루하우스,글렌피딕 프로젝트 XX,,99000,데일리샷,Y,23623,Y,23.9,N,https://www.shilladfs.com/estore/kr/ko/p/5544313
올트모어 19년 CS 한정판 (토니포트) 700ml,올트모어,342.0,518901,700,74129,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5541881
맥캘란 레어 캐스크 블랙 700ml,맥캘란,548.15,831682,700,118812,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5145168
맥캘란 하모니 컬렉션 700ml,맥캘란,175.75,266657,700,38094,429000,700,61286,해밀 whisky&liquer,맥캘란 하모니 컬렉션 리치 카카오,,429000,데일리샷,Y,162343,Y,37.8,N,https://www.shilladfs.com/estore/kr/ko/p/5532321
오켄토션 24년 700ml,오켄토션,248.4,376886,700,53841,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5489101
달모어 포트폴리오 시리즈 2015년 700ml,달모어,593.75,900869,700,128696,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5524985
달모어 포트폴리오 시리즈 2007년 700ml,달모어,883.5,1340493,700,191499,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5524986
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,2090.0,3171059,700,453008,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5489103
패터캐른 40년 700ml,패터캐른,3816.0,5789838,700,827120,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219289
아케시 리슌 700ml,아케시,252.5,383106,700,54729,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5513163
딩글 캐스크 스트렝스 배치6 700ml,딩글,174.6,264912,700,37845,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5512993
오켄토션 18년 700ml,오켄토션,94.5,143380,700,20483,120000,700,17143,주류상회Be 수유점,오켄토션 18년,,120000,데일리샷,N,-23380,N,-19.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5489104
달모어 40년 2024년 에디션 700ml,달모어,14440.0,21909134,700,3129876,31500000,700,4500000,로랜드 주류상회,달모어 40년 2022 리미티드 에디션,,31500000,데일리샷,Y,9590866,Y,30.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5358027
달모어 45년 700ml,달모어,23512.5,35674412,700,5096345,40000000,700,5714286,보틀벙커 상무점,달모어 45년,,40000000,데일리샷,Y,4325588,Y,10.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5501933
달모어 컨스텔레이션 1991 캐스크 27 700ml,달모어,5633.5,8547445,700,1221064,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5360845
달모어 20년 700ml,달모어,641.25,972939,700,138991,749000,700,107000,피보,달모어 20년 2022 에디션,,749000,데일리샷,N,-223939,N,-29.9,N,https://www.shilladfs.com/estore/kr/ko/p/5358025
듀어스 더블더블 21년 스톤 토스티드 1.5L (아메리칸 오크 & 프렌치 오크),듀어스,361.0,547728,700,78247,149000,700,21286,오앤오샷앤바틀 기흥점,듀어스 더블 더블 21년,,149000,데일리샷,N,-398728,N,-267.6,N,https://www.shilladfs.com/estore/kr/ko/p/5460670
달모어 King Alexander III TRX 700ml,달모어,281.7,427410,700,61059,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5125887
에버펠디 25년 700ml,에버펠디,522.5,792765,700,113252,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5460729
달모어 루미너리 No.2 700ml,달모어,332.5,504487,700,72070,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5462755
패터캐른 25년 700ml,패터캐른,324.35,492121,700,70303,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5401203
패터캐른 14년 700ml,패터캐른,38.18,57929,700,8276,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5401202
글렌파클라스 30년 700ml,글렌파클라스,577.2,875758,700,125108,1600000,700,228571,국제상사,글렌파클라스 30년,,1600000,데일리샷,Y,724242,Y,45.3,N,https://www.shilladfs.com/estore/kr/ko/p/5345871
몰트락 SR FY24 700ml (2023 Special Release),몰트락,285.0,432417,700,61774,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5420938
로즈아일 12년 SR FY24 700ml (2023 Special Release),탈리스커,100.8,152939,700,21848,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5420685
올트모어 25년 700ml,올트모어,622.25,944111,700,134873,649000,700,92714,피보,올트모어 25년,,649000,데일리샷,N,-295111,N,-45.5,N,https://www.shilladfs.com/estore/kr/ko/p/5417209
맥캘란 GTR18년 700ml,맥캘란,335.35,508811,700,72687,399000,700,57000,주류상회Be 홍천점,맥캘란 18년 더블 캐스크 2024,,399000,데일리샷,N,-109811,N,-27.5,N,https://www.shilladfs.com/estore/kr/ko/p/5430959
맥캘란 GTR15년 700ml,맥캘란,159.6,242154,700,34593,217900,700,31129,40도 마곡,맥캘란 15년 더블 캐스크 & 파쏘아,,217900,데일리샷,N,-24254,N,-11.1,N,https://www.shilladfs.com/estore/kr/ko/p/5430961
맥캘란 GTR12년 700ml,맥캘란,78.85,119635,700,17091,95000,700,13571,마포 글로벌 마트,맥캘란 12년 더블 캐스크,,95000,데일리샷,N,-24635,N,-25.9,N,https://www.shilladfs.com/estore/kr/ko/p/5430962
턴테이블 스모킨 리프 700ml,턴테이블,84.6,128360,700,18337,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5408660
턴테이블 비터스윗 심포니 700ml,턴테이블,84.6,128360,700,18337,64000,700,9143,가자주류 구월본점,턴테이블 비터스윗 심포니,,64000,데일리샷,N,-64360,N,-100.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5408661
글렌알라키 10년 배치11 700ml,글렌알라키,110.4,167505,700,23929,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5420588
미클토어 오리지널 700ml,미클토어,38.64,58627,700,8375,79000,700,11286,주류상회Be 광명점,미클토어 더 오리지널,,79000,데일리샷,Y,20373,Y,25.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5418558
미클토어 쉐리 700ml,미클토어,81.9,124263,700,17752,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5418557
턴테이블 파라다이스 펑크 700ml,턴테이블,84.6,128360,700,18337,64000,700,9143,가자주류 구월본점,턴테이블 파라다이스 펑크,,64000,데일리샷,N,-64360,N,-100.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5408662
퍼컬렌 15년 700ml,퍼컬렌,40.85,61980,700,8854,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304447
퍼컬렌 21년 700ml,퍼컬렌,251.75,381968,700,54567,319000,700,45571,위스키파크 강동점,퍼컬렌 21년 싱글몰트,,319000,데일리샷,N,-62968,N,-19.7,N,https://www.shilladfs.com/estore/kr/ko/p/5304440
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,107.1,162498,700,23214,150000,700,21429,알코홀릭 드링크 서울이수점,엘리먼츠 오브 아일라 셰리 캐스크,,150000,데일리샷,N,-12498,N,-8.3,N,https://www.shilladfs.com/estore/kr/ko/p/5372479
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,71.1,107877,700,15411,99000,700,14143,만준이네,엘리먼츠 오브 아일라 캐스크 에디트,,99000,데일리샷,N,-8877,N,-9.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5372477
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,46.87,71114,700,10159,99000,700,14143,만준이네,엘리먼츠 오브 아일라 캐스크 에디트,,99000,데일리샷,Y,27886,Y,28.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5372478
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,31.86,48340,500,9668,99000,700,14143,만준이네,엘리먼츠 오브 아일라 캐스크 에디트,,99000,데일리샷,Y,50660,Y,31.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5372476
아케시 쇼만 700ml,아케시,320.15,485749,700,69393,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5372475
아케시 케이칫수 700ml,아케시,454.5,689591,700,98513,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5372474
화이트헤더 21년 700ml,화이트헤더,222.4,337437,700,48205,299000,700,42714,이마트24 신월스타점,화이트 헤더 21년,,299000,데일리샷,N,-38437,N,-12.9,N,https://www.shilladfs.com/estore/kr/ko/p/5372581
화이트헤더 15년 700ml,화이트헤더,54.18,82205,700,11744,109000,700,15571,주류상회Be 신촌점,화이트 헤더 15년,,109000,데일리샷,Y,26795,Y,24.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5372580
맥네어스 럼릭 21년 700ml,맥네어스,285.3,432872,700,61839,269000,700,38429,이마트24 신월스타점,맥네어스 럼 릭 블렌디드 몰트 21년,,269000,데일리샷,N,-163872,N,-60.9,N,https://www.shilladfs.com/estore/kr/ko/p/5372299
미클토어 친커핀 700ml,미클토어,47.32,71796,700,10257,79000,700,11286,주류상회Be 광명점,미클토어 더 친커핀 원,,79000,데일리샷,Y,7204,Y,9.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5372472
토마틴 12년 1000ml,토마틴,52.2,79201,1000,7920,60000,700,8571,블루하우스,토마틴 12년,,60000,데일리샷,N,-19201,Y,7.6,N,https://www.shilladfs.com/estore/kr/ko/p/5310054
글렌카담 10년 700ml,글렌카담,58.9,89366,700,12767,72000,700,10286,세종리쿼,글렌카담 10년,,72000,데일리샷,N,-17366,N,-24.1,N,https://www.shilladfs.com/estore/kr/ko/p/5358799
글렌카담 13년 700ml,글렌카담,90.25,136932,700,19562,124500,700,17786,베스트마트,글렌카담 13년,,124500,데일리샷,N,-12432,N,-10.0,N,https://www.shilladfs.com/estore/kr/ko/p/5358800
글렌카담 아메리칸 오크 리저브 700ml,글렌카담,42.75,64863,700,9266,59900,700,8557,이마트24 신월스타점,글렌카담 아메리칸 오크 리저브,,59900,데일리샷,N,-4963,N,-8.3,N,https://www.shilladfs.com/estore/kr/ko/p/5358802
씨앤씨 뀌베 캐스크 750ml,씨앤씨,87.5,132760,750,17701,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5359024
씨앤씨 아메리칸 싱글 몰트 750ml,씨앤씨,69.3,105146,750,14019,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5359022
씨앤씨 버번 캐스크 750ml,씨앤씨,52.64,79868,750,10649,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5359025
씨앤씨 쉐리 캐스크 750ml,씨앤씨,78.4,118953,750,15860,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5359023
교토위스키 아카 오비 700ml,교토 위스키,35.0,53104,700,7586,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5358989
사가모어 Cask Strength Whiskey 750ml,사가모어,42.75,64863,750,8648,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5285449
사가모어 Double Oak Whiskey 750ml,사가모어,38.25,58035,750,7738,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5285451
사가모어 Rye Whiskey 750ml,사가모어,31.85,48325,750,6443,44000,700,6286,바틀리어 압구정점,사가모어 스피릿 시그니처 라이 700ml,,44000,데일리샷,N,-4325,N,-2.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5285450
글렌모렌지 오리지널 1000ml,글렌모렌지,39.0,59173,1000,5917,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5070387
달모어 18년 2024년 에디션 700ml,달모어,332.5,504487,700,72070,500000,700,71429,40도 마곡,달모어 18년,,500000,데일리샷,N,-4487,N,-0.9,N,https://www.shilladfs.com/estore/kr/ko/p/5358024
헤븐스도어 Straight Rye Whiskey 750ml,헤븐스도어,76.0,115311,750,15375,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5284790
헤븐스도어 Straight Bourbon Whiskey 750ml,헤븐스도어,26.4,40055,750,5341,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5284791
젠틀맨스 컷 버번 750ml,젠틀맨스 컷,82.35,124946,750,16659,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5345783
로크로몬드 Original 1000ml,로크 로몬드,33.3,50525,1000,5052,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5267809
위도우 제인 APPLEWOOD & RYE 750ml,위도우 제인,128.7,195270,750,26036,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5337201
글렌스코시아 48년 700ml,글렌 스코시아,7207.2,10935146,700,1562164,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5300688
글렌스코시아 Crosshill Loch 1000ml,글렌 스코시아,85.5,129725,1000,12972,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5267814
글렌스코시아 32년 Limted edition 700ml,글렌 스코시아,1111.95,1687109,700,241016,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5267813
암룻 INDIAN 700ml,암룻,61.75,93690,700,13384,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5337843
암룻 INDIAN CASK STRENGTH 700ml,암룻,95.0,144139,700,20591,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5337844
암룻 FUSION 700ml,암룻,82.65,125401,700,17914,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5337846
암룻 PEATED 700ml,암룻,75.05,113870,700,16267,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5337847
브룩라디 옥토모어 14.1 700ml,브룩라디,163.0,247312,700,35330,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5310713
올트모어 18년 700ml,듀어스,161.5,245036,700,35005,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/3333181
딘스톤 버진 오크 700ml,딘스톤,21.5,32621,700,4660,45000,700,6429,피보,딘스톤 버진 오크,,45000,데일리샷,Y,12379,Y,27.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5228673
맥탈라 올드퍼스 케스크 스트랭스 700ml,맥탈라,64.6,98015,700,14002,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5311921
큐로 몰트 500ml,큐로,59.5,90277,500,18055,65000,700,9286,캐스크앤뀌베 명지,큐로 진,,65000,데일리샷,N,-25277,N,-94.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5302698
골드바 위스키 1000ml,골드바 위스키,29.9,45366,1000,4537,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304449
스카라버스 히브리디언 저니 블렌디드 몰트 스카치 700ml,스카라버스,23.1,35049,700,5007,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304446
스카라버스 하이랜드 저니 블렌디드 몰트 스카치 700ml,스카라버스,24.75,37552,700,5365,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304439
스카라버스 아일레이 저니 블렌디드 몰트 스카치 700ml,스카라버스,23.1,35049,700,5007,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304445
스카라버스 10년 700ml,스카라버스,80.75,122518,700,17503,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304438
스카라버스 아일레이 싱글몰트 700ml,스카라버스,22.8,34593,700,4942,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304444
글렌모레이 12년 1000ml,글렌모레이,68.4,103780,1000,10378,12000,700,1714,가자주류 목동점,글렌 모레이 12년,,12000,데일리샷,N,-91780,N,-505.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5313551
글렌모레이 커티 샥 스카치 위스키 1000ml,글렌모레이,21.85,33152,1000,3315,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5312122
맥탈라 올드퍼스 쉐리 케스크 12년 700ml,맥탈라,75.05,113870,700,16267,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5311850
맥탈라 올드퍼스 더 오리지널 700ml,맥탈라,23.65,35883,700,5126,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5311849
맥탈라 스타라타 15년 700ml,맥탈라,107.35,162877,700,23268,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5311848
맥탈라 마라 700ml,맥탈라,78.85,119635,700,17091,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5312020
맥탈라 테라 700ml,맥탈라,29.93,45411,700,6487,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5311920
글렌모레이 15년 1000ml,글렌모레이,87.4,132608,1000,13261,15000,700,2143,가자주류 목동점,글렌 모레이 15년,,15000,데일리샷,N,-117608,N,-518.8,N,https://www.shilladfs.com/estore/kr/ko/p/5311847
달모어 퀸텟 700ml ,달모어,104.3,158249,700,22607,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5311398
달모어 콰르텟 1000ml,달모어,127.3,193146,1000,19315,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5311282
우드포드 리저브 Baccarat Edition 700ml,우드포드 리저브,1054.0,1599185,700,228455,,,,,,58000,58000,보유DB,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5088307
벤리악 Quarter Cask Peated 1000ml,벤리악,34.3,52042,1000,5204,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303575
오켄토션 다크 오크 CNY 1000ml,오켄토션,33.11,50236,1000,5024,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303265
라프로익 포트우드 2023 700ml,라프로익,167.2,253685,700,36241,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5298064
에반 윌리엄스 싱글 배럴 750ml,신세계 L&B,29.28,44425,750,5923,,,,,,69800,69800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5290609
듀어스 더블더블 27년 500ml,듀어스,285.0,432417,500,86483,289000,700,41286,링크,듀어스 더블 더블 27년,,289000,데일리샷,N,-143417,N,-109.5,N,https://www.shilladfs.com/estore/kr/ko/p/5267970
글렌데브론 40년 700ml,글렌데브론,2695.0,4088997,700,584142,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5268155
듀어스 더블더블 21년 미즈나라캐스크 500ml,듀어스,165.3,250802,500,50160,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5268249
컴파스 박스 Spice Tree 700ml,컴파스 박스,81.7,123960,700,17709,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5229035
컴파스 박스 Orchard House 700ml,컴파스 박스,57.0,86483,700,12355,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5229033
켄터키아울 더 와이즈맨 스트라이트 버번 위스키 700ml,켄터키아울,31.95,48476,700,6925,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5249134
켄터키아울 컨피스케이티드 버번 위스키 700ml,켄터키아울,148.2,224857,700,32122,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5248878
켄터키아울 더 와이즈맨 라이 버번 위스키 700ml,켄터키아울,67.45,102339,700,14620,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5248877
밀크앤허니 APEX ex-알바 Batch 700ml,밀크앤허니,72.52,110031,700,15719,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5248996
밀크앤허니 APEX 사해 Batch 700ml,밀크앤허니,172.0,260968,700,37281,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5248994
밀크앤허니 APEX 석류 Batch 700ml,밀크앤허니,176.7,268099,700,38300,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5248993
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,37.8,57352,700,8193,72900,700,10414,이마트24 신월스타점,밀크앤허니 엘리먼츠 피티드 싱글몰트 위스키,,72900,데일리샷,Y,15548,Y,21.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5248992
밀크앤허니 크리스마스에디션 트릿 700ml,밀크앤허니,49.98,75832,700,10833,85000,700,12143,주류상회Be 동청주점,밀크앤허니 크리스마스 에디션,,85000,데일리샷,Y,9168,Y,10.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5248990
밀크앤허니 엘리먼츠 레드와인 캐스크 700ml,밀크앤허니,40.95,62132,700,8876,129000,700,18429,가자주류 신촌점,밀크앤허니 엘리먼츠 레드 와인 캐스크 싱글몰트 위스키,,129000,데일리샷,Y,66868,Y,51.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5248989
밀크앤허니 클래식 싱글몰트 700ml,밀크앤허니,66.4,100746,700,14392,64900,700,9271,이마트24 신월스타점,밀크앤허니 클래식,,64900,데일리샷,N,-35846,N,-55.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5248987
딩글 싱글몰트위스키 배치6 700ml,딩글,69.0,104690,700,14956,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5249079
아마하간 World Malt Editon No.1 700ml,아마하간,39.99,60675,700,8668,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5232837
아마하간 World Malt Editon No.5 700ml,아마하간,101.7,154305,700,22044,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5232836
