위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
Old Pulteney 10 Years Old 1000ml,올드 풀트니 (Old Pulteney),스코틀랜드 하이랜드,40%,세컨드필 아메리칸 오크 엑스-버번 캐스크,"바닐라 토피·시트러스·아삭한 사과의 향이 코를 자극한다. 팔레트는 은은한 스파이스와 꿀에 잠긴 잘 익은 과일이 따뜻함을 주며, 해안 증류소 특유의 가벼운 미네랄·소금기가 느껴진다. 가볍고 접근하기 쉬운 스타일이다.",올드 풀트니는 스코틀랜드 최북단 케이스네스 위크의 해안 증류소로 '메리타임 몰트'로 불린다. 10년은 엄선한 세컨드필 아메리칸 오크 엑스-버번 캐스크에서 숙성한 입문급 코어 표현이다.,공식 사이트 · Whiskybase · Master of Malt (2026-06-20 리서치),2026-06-20
우드포드 리저브 디스틸러 셀렉트 1000ml,우드포드 리저브 (Woodford Reserve),미국(켄터키),45.2%,뉴 차르드 오크 배럴,말린 과일·민트·오렌지 껍질의 향에 코코아·바닐라·담배 스파이스가 더해진다. 팔레트는 토피·캐러멜·시나몬·다크초콜릿이 시트러스의 밝음·오크 스파이스와 어우러져 매끄럽고 풍부하다. 피니시는 길고 따뜻하며 은은한 스파이스가 남는다.,우드포드 리저브는 켄터키 베르사유의 증류소가 만드는 켄터키 스트레이트 버번이다. 디스틸러 셀렉트는 브랜드의 플래그십 표현이다.,공식 사이트 · The Whiskey Wash · Breaking Bourbon (2026-06-20 리서치),2026-06-20
와일드 터키 레어브리드 1000ml,와일드 터키 (Wild Turkey),미국(켄터키),58.4% (배럴 프루프 · 배치별 상이),뉴 차르드 오크 배럴,버터·정향·오크의 향에 오렌지 껍질·민트·달콤한 담배가 더해진다. 팔레트는 묵직한 캐러멜·초콜릿·바닐라에 시나몬 스파이스·구운 오크·가죽·무화과가 어우러진다. 피니시는 길고 강건하며 캐러멜·바닐라의 단맛이 남는다.,"와일드 터키 레어브리드는 약 6·8·12년 숙성 배럴을 혼합한 스몰배치 배럴 프루프 버번으로, 희석 없이 병입한다. 배치마다 도수가 다소 달라진다.",Master of Malt · Dramface · 공식 정보 (2026-06-20 리서치),2026-06-20
짐빔 블랙 1000ml,짐빔 (Jim Beam),미국(켄터키),43%,뉴 차르드 오크 배럴,캐러멜·오크·시나몬·바닐라의 깊은 향에 견과류·흑설탕·구운 캐러멜 노트가 더해진다. 팔레트는 풀바디로 묵직한 캐러멜이 균형 잡혀 풍부하다. 추가 숙성으로 화이트 라벨보다 진하고 부드러운 풍미를 낸다.,"짐빔은 켄터키의 대표 버번 브랜드로, 블랙(엑스트라 에이지드)은 기본 화이트 라벨보다 오래 숙성한 표현이다. 과거 8년 숙성 표기였으나 현재는 무연산 표기다.",공식 사이트 · Breaking Bourbon · The Whiskey Shelf (2026-06-20 리서치),2026-06-20
Scapa Glansa 700ml,스카파 (Scapa),스코틀랜드 아일랜즈(오크니),40%,퍼스트필 아메리칸 오크 + 엑스-피티드 캐스크 피니시,부드러운 복숭아·파인애플·바닐라의 향에 은은한 모닥불 스모크가 깔린다. 팔레트는 복숭아·잘 익은 배·크리미한 캐러멜 토피·바닐라에 부드러운 스모크가 더해진다. 피니시는 비교적 짧고 가벼운 피트가 남는다.,"스카파는 오크니 섬의 증류소로, 글란사는 스카파 최초의 피트 표현이다. 퍼스트필 아메리칸 오크 숙성 후 엑스-피티드 위스키 캐스크에서 더블 매처링해 부드러운 스모크를 입힌다.",Distiller · WhiskyNotes · Master of Malt (2026-06-20 리서치),2026-06-20
Scapa Skiren 700ml,스카파 (Scapa),스코틀랜드 아일랜즈(오크니),40%,퍼스트필 아메리칸 오크 캐스크,"탠저린·사과·배·딸기·바나나의 향에 바닐라 크림·시나몬·토피가 더해진다. 팔레트는 부드럽고 실키하며 약간의 스파이스와 함께 토피·오크, 구운 사과·꿀·시트러스가 난다. 피니시는 미디엄에서 길며 토피·오크의 드라이함이 남는다.","스카파는 오크니 섬의 증류소다. 스키렌은 퍼스트필 아메리칸 오크 캐스크에서만 숙성한 무연산 표현으로, 'Skiren'은 '반짝이는 맑은 하늘'을 뜻하는 노르드어다.",The Whisky Exchange · WhiskyNotes · Master of Malt (2026-06-20 리서치),2026-06-20
잭다니엘 블랙라벨 1000ml,잭 다니엘스 (Jack Daniel's),미국(테네시),40%,뉴 차르드 오크 배럴(링컨 카운티 차콜 멜로잉),캐러멜·바닐라·버터스카치의 부드러운 향에 진한 꿀·구운 오크·시나몬·감초가 더해진다. 팔레트는 바나나 위주의 과일과 바닐라·오크 차 노트가 매끄럽게 달콤하다. 피니시는 짧고 달며 오크·후추·호두가 남는다.,"잭 다니엘스 올드 No.7(블랙 라벨)은 테네시 린치버그의 증류소가 만드는 테네시 위스키로, 차콜 멜로잉(링컨 카운티 공정)을 거친 뒤 뉴 차르드 오크 배럴에서 숙성한다.",공식 사이트 · The Whiskey Wash · Men's Journal (2026-06-20 리서치),2026-06-20
잭다니엘 젠틀맨 잭 1000ml,잭 다니엘스 (Jack Daniel's),미국(테네시),40%,뉴 차르드 오크 배럴(차콜 더블 멜로잉),꿀·라이 크래커·바닐라·캐러멜의 향이 부드럽게 난다. 팔레트는 매우 매끄러운 바닐라에 견과류·후추·흑설탕·메이플·시나몬·가벼운 과일이 어우러진다. 피니시는 부드럽고 버터 같으며 오크는 약하다.,"젠틀맨 잭은 잭 다니엘스의 '더블 멜로잉' 표현으로, 배럴에 채우기 전과 병입 전 두 번 차콜 여과를 거쳐 한층 부드러운 풍미를 낸다.",공식 사이트 · Master of Malt · The Whiskey Jug (2026-06-20 리서치),2026-06-20
잭다니엘 본디드 1000ml,잭 다니엘스 (Jack Daniel's),미국(테네시),50% (100 프루프),뉴 차르드 오크 배럴(보틀드 인 본드),달콤한 캐러멜·바나나 넛 브레드의 디저트 같은 향에 시나몬 스파이스가 따른다. 팔레트는 캐러멜·진한 오크·바닐라·베이킹 스파이스가 층을 이루고 은은한 스모크가 더해진다. 피니시는 미디엄으로 오크·토피와 민트·시나몬·생강의 스파이스가 남는다.,"잭 다니엘스 본디드는 보틀드 인 본드 규정(단일 증류소·단일 시즌·최소 4년·100 프루프)에 따라 50% 도수로 병입한 표현으로, 2022년 슈퍼 프리미엄 라인 확장으로 출시됐다.",The Whisky Exchange · Breaking Bourbon · Whisky Advocate (2026-06-20 리서치),2026-06-20
더 글렌그란트 10년 1000ml,더 글렌그란트 (The Glen Grant),스코틀랜드 스페이사이드,40%,엑스-버번 캐스크,풋사과·잘 익은 배·살구의 밝은 향에 맥아 보리·바닐라의 시리얼 단맛이 더해진다. 팔레트는 부드럽고 마시기 쉬우며 꿀·보리 설탕·캐러멜에 풋사과·바나나·초콜릿·구운 아몬드가 난다. 피니시는 풋사과·풀에 은은한 후추·시나몬 스파이스가 남는다.,"더 글렌 그란트는 스페이사이드 로시스의 증류소로, 키가 큰 증류기와 정화기로 가볍고 깔끔한 스피릿을 낸다. 10년은 엑스-버번 캐스크 위주로 숙성한 코어 표현이다.",The Whisky Exchange · Master of Malt · Difford's Guide (2026-06-20 리서치),2026-06-20
조니워커 블루라벨 200ml,조니워커 (Johnnie Walker),블렌디드(스코틀랜드),40%,다양한 캐스크(엄선된 희소 원액 블렌드),바닐라·꿀·오렌지 껍질·꽃 향에 오크 스파이스와 배경의 옅은 스모크가 은은히 더해진다. 팔레트는 오크·바닐라·꿀·오렌지 시트러스에 말린 과일·헤이즐넛·다크초콜릿·캐러멜이 어우러진다. 질감은 매우 부드럽고 기름지며 길게 이어진다.,"조니워커 블루 라벨은 디아지오의 울트라 프리미엄 블렌디드 스카치로, 희소하고 잘 숙성된 원액을 엄선해 블렌딩한다.",공식 정보 · The Whiskey Wash · 마스터 블렌더 노트 (2026-06-20 리서치),2026-06-20
부쉬밀 포트캐스크 25년 700ml,부쉬밀스 (Bushmills),아일랜드(북아일랜드),46%,버번·셰리 캐스크 숙성 후 퍼스트필 루비 포트 파이프 피니시,잘 익은 산딸기류 검은 과일에 꿀·토스티드 오크·따뜻한 스파이스가 어우러진 향. 팔레트는 아몬드의 단맛에서 카라멜라이즈드 체리·자두·블랙베리로 이어지고 다크초콜릿과 은은한 스파이스가 받친다. 포트 영향의 '레드 골드' 빛깔. 피니시는 따뜻한 오크·포트의 단맛·스파이스가 길게 남는다.,부쉬밀스의 초고숙성 프레스티지 싱글몰트. 처음 5분의 1을 버번·셰리에서 숙성한 뒤 약 20년을 퍼스트필 루비 포트 파이프에서 마무리한 희소 보틀.,공식 사이트 · The Whiskey Wash · Tastings.com,2026-06-20
올트모어 25년 700ml,올트모어 (Aultmore),스코틀랜드 스페이사이드,46%,엑스-버번 위주(올트모어 특유의 클린 스타일),바나나·배·사과·건포도가 크리미한 카라멜 소스에 덮인 듯한 풍성한 과일 향. 팔레트는 단 맥아·말린 과일·토피에 은은한 스파이스와 우아한 오크가 균형을 이룬다. 피니시는 길고 정제되어 단맛·부드러운 스파이스·매끈한 오크가 남는다.,올트모어의 가장 오래되고 프레스티지한 표현. 25년 숙성에도 풀·깨끗함의 시그니처 신선함을 유지한다.,공식 사이트 · The Cask Connoisseur · GreatDrams,2026-06-20
글렌카담 25년 700ml,글렌카담 (Glencadam),스코틀랜드 하이랜드,46%,"엑스-버번(논칠필터·무착색, 1,600병 한정)",스톤프루트·사과꽃·아카시아 꿀·달콤한 케이크 스파이스의 밝고 향긋한 노즈. 팔레트는 새콤한 배·복숭아에 부서지는 토피·구운 헤이즐넛·데니쉬 페이스트리가 어우러지고 후추 스파이스가 받친다. 피니시는 따뜻하고 고소하며 오트 비스킷·레몬커드·시트러스 제스트가 길게 남는다.,"'The Remarkable' 글렌카담의 25년 한정 릴리즈. 개별 넘버링, 무착색·논칠필터로 본연의 캐릭터를 보존했다.",공식 사이트 · Master of Malt · The Whiskey Wash,2026-06-20
조니워커 킹조지 5세 750ml,조니워커 (Johnnie Walker),블렌디드(스코틀랜드),43%,다양한 캐스크(킹조지 5세 시대 가동 증류소 원액 블렌드),"옅은 스모크에 신선한 과일·맥아·건포도·무화과·시나몬, 그리고 바닐라·잘 익은 사과·구운 아몬드·밀크초콜릿이 더해진 향. 팔레트는 다크초콜릿·샌달우드·절제된 피트 스모크·단 말린 과일이 층층이 쌓이고 후추·생강·넛맥 스파이스가 따른다. 벨벳처럼 풍성한 질감, 메이플 시럽 뉘앙스의 길고 따뜻한 피니시.","블루라벨 프레스티지 라인. 조지 5세가 조니워커에 로열 워런트를 수여한 1934년을 기려, 그 시대에 가동하던 증류소들의 희소 원액으로 블렌딩한다.",공식 사이트 · Difford's Guide · Whiskybase,2026-06-20
조니워커 킹조지 5세 500ml,조니워커 (Johnnie Walker),블렌디드(스코틀랜드),43%,다양한 캐스크(킹조지 5세 시대 가동 증류소 원액 블렌드),"옅은 스모크에 신선한 과일·맥아·건포도·무화과·시나몬, 그리고 바닐라·잘 익은 사과·구운 아몬드·밀크초콜릿이 더해진 향. 팔레트는 다크초콜릿·샌달우드·절제된 피트 스모크·단 말린 과일이 층층이 쌓이고 후추·생강·넛맥 스파이스가 따른다. 벨벳처럼 풍성한 질감, 메이플 시럽 뉘앙스의 길고 따뜻한 피니시.",블루라벨 프레스티지 라인(500ml). 조지 5세가 조니워커에 로열 워런트를 수여한 1934년을 기려 그 시대 가동 증류소들의 희소 원액으로 블렌딩한다.,공식 사이트 · Difford's Guide · Whiskybase,2026-06-20
벤리악 25년 700ml,벤리악 (BenRiach),스코틀랜드 스페이사이드,46%,"4캐스크(셰리·버번·버진오크·마데이라), 언피티드+피티드 혼합","달콤한 스페이사이드 스모크에 과일·맥아가 얽힌 향, 살구·시나몬·오렌지·약간의 후추. 팔레트는 구운 과일·꿀·토스티드 오크·스파이스가 풍성하고 스파이스보다 과일이 조금 앞선다. 피니시는 길고 진하며 카라멜라이즈드 스모크가 남는다.",'The Twenty Five'. 언피티드와 피티드 원액을 셰리·버번·버진오크·마데이라 4종 캐스크에서 25년 이상 숙성해 결합한 벤리악의 시그니처 다중캐스크 철학을 보여주는 표현.,공식 사이트 · HTFW · The Whiskey Wash,2026-06-20
에버펠디 25년 700ml,에버펠디 (Aberfeldy),스코틀랜드 하이랜드,43%,리필 캐스크 숙성 후 퍼스트필 올로로소 셰리 1년+ 피니시,"코코아 파우더·크리미한 카라멜·따뜻한 시나몬이 쌓이는 향. 팔레트는 맥아·시리얼 베이스 위에 섬세한 과일과 바닐라 커피가 얹히고, 시나몬 스파이스에 옅은 스모크가 온기를 더한다. 하이랜드 꿀·야생 딸기의 단맛.",'골든 드램' 에버펠디의 25년. 리필 캐스크 숙성 후 퍼스트필 올로로소 셰리에서 1년 이상 피니시해 단맛과 깊이를 더했다.,공식 사이트(aberfeldy.com) · The Whiskey Wash,2026-06-20
듀어스 25년 750ml,듀어스 (Dewar's),블렌디드(스코틀랜드),40%,오크 캐스크 25년+ 숙성 후 로얄 브래클라 싱글몰트 캐스크 피니시,꿀·허니콤·카라멜에 잘 익은 사과·백도·구운 파인애플·과일 케이크가 더해진 향. 팔레트는 꿀 카라멜·허니서클·붉은 사과·천도복숭아에 시나몬·화이트 초콜릿·옅은 후추. 피니시는 부드럽고 벨벳 같으며 옅은 스모크가 은은히 남는다.,'The Signature'. 마스터 블렌더 스테파니 맥레오드가 25년 이상 숙성 원액을 블렌딩한 뒤 로얄 브래클라 싱글몰트 캐스크에서 마무리한 듀어스의 더블 에이지드 프레스티지 블렌드.,공식 사이트 · The Whisky Exchange · Adventures In Whiskey,2026-06-20
Balblair 21 Years Old 700ml,발블레어 (Balblair),스코틀랜드 하이랜드,46%,세컨드필 버번 배럴 15년 후 스패니시 올로로소 버트 6년,"구운 망고·코코넛·파인애플의 트로피컬 향에 넛맥·바노피·크리미 퍼지·진저브레드·마지팬·커피. 팔레트는 정향·생강의 우디 스파이스에 토피·붉은 사과·천도복숭아·파파야, 세비야 오렌지와 다크초콜릿. 풀바디·매끈하며 비스킷·초콜릿·트로피컬의 길고 따뜻한 피니시.",발블레어 코어 레인지의 정점. 세컨드필 버번에서 15년 숙성 후 스패니시 올로로소 버트로 옮겨 6년을 더 보낸 21년 싱글몰트.,공식 사이트 · Master of Malt · The Whiskey Wash,2026-06-20
글렌모레이 21년 포트우드 700ml,글렌모레이 (Glen Moray),스코틀랜드 스페이사이드,46.3%,엑스-버번 배럴 숙성 후 엑스-포트 캐스크 2년 피니시(논칠필터·무착색),"진한 베리류 과일에 크리미한 바닐라·리치 카라멜, 갓 구운 진저브레드 힌트의 향. 팔레트는 블랙커런트·감초가 먼저 오고 쫀득한 카라멜 토피·칠리 인퓨즈드 초콜릿이 이어진다. 피니시는 다크초콜릿·카라멜라이즈드 건포도가 길게 남는다.","글렌모레이 '헤리티지' 21년 포트우드 피니시. 엑스-버번 숙성 후 엑스-포트 캐스크에서 2년 풀 피니시, 논칠필터·무착색으로 병입.",공식 사이트(glenmoray.com) · Whisky Magazine · The Whiskey Wash,2026-06-20
싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,글렌둘란 (Glendullan),스코틀랜드 스페이사이드,44.8%,유러피언 오크 숙성 후 엑스-마살라·팔로 코르타도·PX 셰리 4캐스크 마무리(NAS),유러피언 오크와 마살라·팔로 코르타도·PX 셰리가 빚어내는 짙고 풍성한 셰리·말린 과일·다크 스파이스 프로파일. 숲의 깊이를 콘셉트로 한 진하고 묵직한 단맛 지향의 트래블리테일 표현.,"디아지오가 약 10년 만에 선보인 싱글톤 트래블리테일 전용 '가든스 오브 어번던스' 4종 중 가장 진한 '딥 포레스트 리치'. 글렌둘란 증류, 마스터 블렌더 크레이그 윌슨, 연수 미표기(NAS).",공식 사이트(malts.com) · Whisky Magazine · GTR Magazine,2026-06-20
듀어스 더블더블 21년 스톤 토스티드 1.5L (아메리칸 오크 & 프렌치 오크),듀어스 (Dewar's),블렌디드(스코틀랜드),46%,더블더블 4단계 숙성 + 스톤 토스티드(매그마) 아메리칸·프렌치 오크 피니시,꿀·골든 시럽·토피 애플·건포도의 진한 향에 데이트·스톤프루트·트로피컬 과일. 팔레트는 잘 익은 사과·골든 건포도에 감초와 시나몬·후추·넛맥 스파이스. 잼 같은 과일 단맛이 풍성하다.,"마스터 블렌더 스테파니 맥레오드의 '더블더블' 4단계 숙성(몰트·그레인 개별→각각 블렌딩→재결합 숙성) 21년에, 화산석으로 토스팅한 아메리칸·프렌치 오크로 마무리한 '스톤 토스티드' 매그마 한정.",공식 사이트 · The Whiskey Wash · Total Wine,2026-06-20
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키 (GlenAllachie),스코틀랜드 스페이사이드,"캐스크 스트렝스 (병 표기 기준 · 2007 올로로소 푼천 자매캐스크 ≈58%: #800179 58.0% / #800184 58.3% · 캐스크별 상이, 과신 주의)",올로로소 셰리 푼천(puncheon) 싱글캐스크 #2777 · 2007 증류 17년 숙성 · 캐스크스트렝스 · 논칠필터 · 무착색,"건포도·말린 무화과·대추야자의 진한 올로로소 셰리 향에 다크초콜릿·오렌지 껍질·호두, 흑설탕·베이킹 스파이스(계피·정향)·가죽으로 이어지는 묵직하고 긴 피니시. (단일 캐스크라 자매 캐스크 기준 근사 — 병별 차이 가능)","글렌알라키는 1967년 설립된 스페이사이드 증류소로, 2017년 빌리 워커(전 벤리악·글렌드로낙) 팀이 인수해 셰리 캐스크 중심으로 재편했다. #2777은 2007년 증류 원액을 올로로소 셰리 푼천(대형 셰리 통) 단일 캐스크에서 17년 장기 숙성해 캐스크스트렝스·논칠필터·무착색으로 병입한 싱글캐스크. ⚠️ 싱글캐스크는 도수·풍미가 통별로 달라 동 2007 올로로소 푼천 자매캐스크(예: #800179 58.0%) 기준 근사치이며 병별 차이 가능(과신 주의).",Royal Mile Whiskies · The Whisky Stock · Whiskybase · theglenallachie.com (2026-06-21 리서치),2026-06-21
시크릿 스페이사이드 Longmorn 18년 700ml,롱몬 (Longmorn),스코틀랜드 스페이사이드,48%,아메리칸 오크 배럴 & 혹스헤드 더블 캐스크 숙성 (18년),"잘 익은 배·망고·크리미한 토피의 트로피컬한 향에 오렌지 마멀레이드·퍼지·오크·구운 견과. 팔레트는 바닐라 퍼지·버터 토피에 배 콤포트·샌달우드·주시한 열대과일, 민트초콜릿·말린 살구·코코넛으로 이어지고 견과류 피니시에 신선한 망고가 돈다.",시바스 브라더스가 2019년 면세(트래블 리테일) 채널로 선보인 '시크릿 스페이사이드(The Secret Speyside)' 컬렉션 중 하나. 롱몬은 1893년 설립된 스페이사이드 증류소로 오랫동안 블렌디드(시바스 리갈 등)의 핵심 몰트로 쓰여 단독 병입이 드물었다. 이 18년은 아메리칸 오크 배럴과 혹스헤드에서 더블 캐스크로 약 18년 숙성한 트로피컬·과일 중심 싱글몰트.,Master of Malt · The Whisky Exchange · Whisky.com (2026-06-22 리서치),2026-06-22
조니워커 아일랜드 그린 1000ml,조니워커 (Johnnie Walker · 블렌디드 몰트),블렌디드 몰트(스코틀랜드),43%,NAS(숙성연수 미표기) 블렌디드 몰트 — 카올 일라 중심 + 클라이넬리시·글렌킨치·카듀,스모키하고 약간 메디시널한 페놀 피트에 헤더·구운 파인애플·바닐라·옅은 오크 향. 팔레트는 스모키하고 오일리하며 붉은 사과·복숭아의 과일감에 카라멜 캔디·헤더·오크가 더해진다. 길고 스모키한 피니시에 헤더 힌트.,"2016년 면세(트래블 리테일) 전용으로 출시된 블렌디드 몰트. 카올 일라(아일라 피트)를 골격으로 클라이넬리시(하이랜드 과일감)·글렌킨치(로우랜드)·카듀(스페이사이드 단맛)를 결합해, '그린 라벨 15년'보다 아일라 피트 쪽으로 무게를 둔 NAS 블렌디드 몰트.",The Scotch Noob · WhiskyCast · Whisky of the Week (2026-06-22 리서치),2026-06-22
"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스 증류소 (Buffalo Trace Distillery),미국 켄터키 프랭크퍼트,둘 다 45% (90프루프) — W.L.웰러 스페셜 리저브 45% · 버팔로 트레이스 45%,뉴 차드(내부 그을림) 아메리칸 화이트 오크 배럴 · 웰러=밀(wheated) 매시빌·버팔로트레이스=라이 매시빌,웰러 스페셜 리저브: 밀 위스키 특유의 부드럽고 둥근 질감에 카라멜·바닐라·꿀과 가벼운 오크 스파이스. 버팔로 트레이스: 바닐라·민트·당밀에 토피·브라운슈거·오크의 균형 잡힌 미디엄 바디. 375ml 두 병으로 밀드 버번과 라이 매시빌 버번을 비교 시음하기 좋은 구성.,"켄터키 프랭크퍼트의 버팔로 트레이스 증류소에서 만드는 두 대표 버번을 375ml씩 묶은 면세 듀오팩. W.L.웰러 스페셜 리저브는 라이 대신 밀을 부재료로 쓰는 '윗티드(wheated)' 버번 라인의 엔트리로 부드러움이 특징이고, 버팔로 트레이스는 증류소 동명의 플래그십 버번이다. 두 매시빌(밀 vs 라이)을 한 세트로 비교할 수 있게 구성된 트래블 리테일 패키지.",buffalotracedistillery.com · Buffalo Trace 공식 · Whisky Advocate (2026-06-23 리서치),2026-06-23
시그나토리 링크우드 1995 CS 30년 #3 700ml,링크우드 (Linkwood) · 독립병입 시그나토리 빈티지,스페이사이드,50.9% (캐스크 스트렝스 · 단일 캐스크 #3 실측치),퍼스트필 올로로소 셰리 혹스헤드 단일 캐스크 #3 · 1995 증류 30년 숙성 · 비냉각여과 · 무착색 (Symington's Choice 라인),건포도·무화과·다크초콜릿·당밀에 계피·정향 등 따뜻한 베이킹 스파이스가 어우러진 진한 셰리 풍미. 피니시는 길고 따뜻하며 잘 익은 오크와 셰리 단맛이 남는다.,"링크우드는 1821년 설립된 스페이사이드 증류소로, 가볍고 플로럴한 증류액이 셰리 캐스크 장기 숙성과 잘 맞기로 알려져 있다. 이 병은 독립병입자 시그나토리 빈티지의 'Symington's Choice' 라인으로, 1995년 증류 원액을 단일 퍼스트필 올로로소 셰리 혹스헤드(#3)에서 30년 숙성해 2025년 캐스크 스트렝스·비냉각여과·무착색으로 병입한 싱글캐스크.",The Whisky Barrel · CaskCartel · Signatory USA (2026-06-24 리서치),2026-06-24
시그나토리 글렌버기 1995 CS 30년 #203 700ml,글렌버기 (Glenburgie) · 독립병입 시그나토리 빈티지,스페이사이드,48.5% (캐스크 스트렝스 · 단일 캐스크 #203 실측치),단일 캐스크 #203 · 1995 증류 30년 숙성 · 비냉각여과 · 무착색 (시그나토리 캐스크 스트렝스 컬렉션 / Symington's Choice),"30년 장기 숙성에서 오는 잘 익은 오크와 부드러운 몰트 단맛, 말린 과일과 은은한 스파이스가 균형을 이룬다. (단일 캐스크 특성상 병별 편차 가능)","글렌버기는 1810년 기원의 스페이사이드 증류소로, 대부분의 생산량이 발렌타인 블렌드의 핵심 몰트로 쓰여 단독 공식 병입은 드물다. 이 병은 시그나토리 빈티지가 1995년 증류 원액을 단일 캐스크(#203)에서 30년 숙성해 캐스크 스트렝스로 병입한 독립병입 제품.",Master of Malt · The Whisky Exchange · The Whisky World (2026-06-24 리서치),2026-06-24
더 패밀리 캐스크스 2002_S24 700ml,글렌파클라스 (Glenfarclas),스페이사이드,50.8% (내추럴 캐스크 스트렝스 · 단일 캐스크 #3327 실측치),싱글 셰리 혹스헤드 #3327 · 2002-09-04 증류 21년 숙성 · 2024년 여름 'S24' 배치 병입 · 비냉각여과 · 무착색 · 총 301병,건포도 브리오슈·히더 꿀·오렌지 제스트의 향에 이어 당밀 토피·몰트 로프·다크초콜릿과 정향 캐러멜이 실키하게 이어진다. 피니시는 길고 따뜻하며 셰리에 절인 과일케이크와 오크 탄닌이 은은하게 마른다.,"글렌파클라스는 1836년 이래 그랜트(Grant) 가문이 6대째 직접 운영하는 스페이사이드 증류소로, 셰리 캐스크 숙성과 가문 소유 던니지 창고로 유명하다. '더 패밀리 캐스크스'는 단일 빈티지·단일 캐스크를 그대로 병입하는 시리즈이며, 이 제품은 2002년 증류 원액을 셰리 혹스헤드 #3327에서 숙성해 2024년 여름('S24') 301병만 출시한 것.",The Whisky Barrel · Whiskybase · Craft Cellars (2026-06-24 리서치),2026-06-24
시그나토리 글렌리벳 2006 CS 19년 #901018 700ml,글렌리벳 (The Glenlivet) · 독립병입 시그나토리 빈티지,스페이사이드,캐스크 스트렝스 (병별 상이 · #901018 정확 도수 미확인 → 동 2006 빈티지·동 시리즈 자매캐스크 #901016/#901017/#901028 ≈58~61% 기준 근사 · 자매캐스크 근사치),퍼스트필 올로로소 셰리 버트(추정 · 동 시리즈 자매캐스크 모두 1st fill Oloroso butt) · 단일 캐스크 #901018 · 2006 증류 19년 숙성 · 비냉각여과 · 무착색,글렌리벳의 부드러운 과일 향에 올로로소 셰리에서 오는 건과일·견과·다크초콜릿의 진한 단맛이 더해진다. (단일 캐스크 특성상 병별 편차 가능 · 자매캐스크 기준 근사),"글렌리벳은 1824년 정부 면허를 받은 최초의 합법 증류소 중 하나로, 부드럽고 우아한 스페이사이드 스타일로 알려져 있다. 이 병은 시그나토리 빈티지가 2006년 증류 원액을 단일 셰리 캐스크(#901018)에서 19년 숙성해 캐스크 스트렝스로 병입한 독립병입 제품이며, 같은 빈티지 자매캐스크들은 모두 퍼스트필 올로로소 셰리 버트로 병입됐다(맛·도수는 자매캐스크 기준 근사).",Master of Malt · The Whisky Exchange · Maison du Whisky(자매캐스크 기준) (2026-06-24 리서치),2026-06-24
카노스케 싱글몰트 2026 리미티드 700ml,카노스케 (Kanosuke · 코마사 양조),일본 가고시마현,57%,멀티 캐스크 베이팅 — 버번 배럴 숙성 후 애플 브랜디 캐스크 피니시 + 재차링 엑스-쇼추(소주) 캐스크 숙성 후 화이트 와인 캐스크 피니시를 키 몰트로 사용(셰리·레드와인 캐스크 등 혼합) · 비냉각여과,"오렌지 블로섬·사과 껍질·청포도의 산뜻한 향, 입안에서는 바닐라·유자페이스트·꿀·애플 브랜디의 단맛이 이어진다. 자몽과 사과 껍질, 봄 바닷바람을 연상시키는 가벼운 피니시.","카노스케는 가고시마에서 140년간 쇼추를 빚어온 코마사 양조가 2017년 설립한 위스키 증류소로, 후키아게하마 해변 옆에 있다. 이 제품은 증류소 인근 해변의 봄 풍경에서 영감을 받은 연간 리미티드 에디션으로, 3종 증류기 원액을 여러 캐스크에서 숙성한 뒤 애플 브랜디·화이트 와인 캐스크로 피니시했다. 물을 천천히 더하는 '슬로우 딜루션'으로 부드러운 질감을 냈다.",Kanosuke Distillery 공식 · Japanese Whisky Dictionary(jpwhisky.net) · Mizunara The Shop (2026-06-24 리서치),2026-06-24
글렌알라키 싱글캐스크 2012 11년 OLO  HHD 700ML,글렌알라키 (GlenAllachie),스페이사이드,캐스크 스트렝스 (병별 상이 · 해당 캐스크 정확 도수 미확인 → 동 증류소 2011~2012 올로로소 단일 캐스크 ≈60~62% 기준 근사 · 자매캐스크 근사치),싱글 올로로소 혹스헤드(OLO HHD = Oloroso Hogshead) · 2012 증류 11년 숙성 · 비냉각여과 · 무착색 · 신라면세 단독 선런칭,올로로소 셰리 캐스크에서 오는 계피·건포도·말린 과일의 단맛과 견과 풍미. 무피트 스페이사이드 특유의 진하고 다층적인 셰리 캐릭터를 캐스크 스트렝스로 드러낸다. (단일 캐스크 특성상 병별 편차 가능 · 자매캐스크 기준 근사),"글렌알라키는 1967년 벤 리네스 기슭에 세워진 스페이사이드 증류소로, 2017년 빌리 워커가 인수해 셰리 캐스크 재숙성 중심의 단일 캐스크 프로그램으로 평가받는다. 이 제품은 2012년 증류 원액을 단일 올로로소 혹스헤드에서 11년 숙성해 캐스크 스트렝스로 병입한 것으로, 한국에서는 신라면세점이 단독 선런칭한 한정 제품.",신라인터넷면세점 · xwine.club · GlenAllachie 공식/Wikipedia · ImpEx Beverages (2026-06-24 리서치),2026-06-24
